SUM159R_DMSO_24H_0	SUM159R_DMSO_24H_1	SUM159R_DMSO_3H_0	SUM159R_DMSO_3H_1	SUM159R_JQ1_24H_0	SUM159R_JQ1_24H_1	SUM159R_JQ1_3H_0	SUM159R_JQ1_3H_1	SUM159_DMSO_12H_0	SUM159_DMSO_12H_1	SUM159_DMSO_24H_0	SUM159_DMSO_24H_1	SUM159_DMSO_3H_0	SUM159_DMSO_3H_1	SUM159_JQ1_12H_0	SUM159_JQ1_12H_1	SUM159_JQ1_24H_0	SUM159_JQ1_24H_1	SUM159_JQ1_3H_0	SUM159_JQ1_3H_1
A1BG	1.64162	2.77079	2.29422	2.76955	1.02829	2.8998	2.56893	2.30816	1.53327	0.676316	1.64755	3.49141	0.269306	1.10624	1.02539	1.77174	4.42229	1.23513	1.00616	0.497591
A1BG-AS1	2.22917	1.8407	1.26306	0.939869	2.14174	2.72512	1.52123	1.31927	1.26887	0.946159	1.20256	1.07064	0.558158	0.707629	2.4458	2.35128	3.4818	3.6039	0.918008	0.780697
A1CF	0	0.01	0	0	0.01	0.01	0	0	0.0188619	0.01	0.0141789	0.01	0.0206094	0.0160996	0	0.01	0.0166721	0	0.0123749	0.0171358
A2M	0	0	0	0	0	0	0	0.01	0.115354	0.154342	0.0578441	0.182956	0.14708	0.136758	0.0900016	0.0508944	0.0453323	0.0528834	0.182936	0.13976
A2M-AS1	0	0	0	0	0	0.0102429	0	0	0.012324	0.0133183	0.0973327	0.0273649	0	0	0.0403848	0.0126872	0.0254264	0.0949177	0	0
A2ML1	0.0953681	0.0611265	0.0656674	0.0941403	0.0610952	0.0396602	0.0799499	0.114935	0.0340844	0.051568	0.197408	0.0908195	0.0521501	0.0203659	0.0819075	0.0631599	0.0703216	0.157508	0.0939409	0.151762
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	4.97992	7.87819	6.27614	5.49271	3.73165	7.54156	5.17846	4.52851	9.52688	5.67931	9.71187	14.5721	3.41635	7.30895	6.73015	10.6338	16.2372	8.47397	6.94188	3.66389
A4GNT	0	0.0874035	0	0	0.0232957	0.0518484	0.0203233	0.0438246	0	0.0168539	0	0.0692591	0	0	0.0170353	0.0321106	0.0965295	0	0.0179099	0.0744005
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	41.8459	39.2515	37.2683	37.7514	31.7499	35.1626	34.207	33.2134	41.4181	40.6634	43.0619	36.8786	36.1552	40.0185	34.9987	35.9087	36.9181	36.5835	46.3479	37.2641
AACS	25.5708	26.1708	15.995	15.4046	28.0957	32.6734	16.5006	14.4529	13.8383	13.8279	18.5766	17.9141	12.356	14.1402	17.094	18.8469	24.8141	22.2823	20.6277	17.9162
AACSP1	0.0217048	0.0278236	0.0265693	0.0311642	0.0185396	0.0515786	0	0.0174386	0.0744698	0.120717	0.326749	0.165357	0.0237378	0.0247206	0.0135573	0.0127774	0.0512145	0.0716944	0.0142533	0
AADAC	2.43861	1.79749	1.23138	1.4881	1.84865	1.2894	1.81721	2.30217	3.48623	4.18191	1.37668	1.56755	6.2675	4.89524	5.06468	3.91197	2.40954	3.79262	7.10627	9.59071
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
