sample_id	file	total_mass	internal_scale	external_scale
SUM159R_DMSO_24H_0	/grail/projects/TNBC/cufflinks/SUM159R_DMSO_24H_1/abundances.cxb	3.57524e+07	1.19845	1
SUM159R_DMSO_24H_1	/grail/projects/TNBC/cufflinks/SUM159R_DMSO_24H_2/abundances.cxb	2.29605e+07	0.76815	1
SUM159R_DMSO_3H_0	/grail/projects/TNBC/cufflinks/SUM159R_DMSO_3H_1/abundances.cxb	3.61652e+07	1.06998	1
SUM159R_DMSO_3H_1	/grail/projects/TNBC/cufflinks/SUM159R_DMSO_3H_2/abundances.cxb	4.05588e+07	1.25502	1
SUM159R_JQ1_24H_0	/grail/projects/TNBC/cufflinks/SUM159R_JQ1_24H_1/abundances.cxb	4.88684e+07	1.61623	1
SUM159R_JQ1_24H_1	/grail/projects/TNBC/cufflinks/SUM159R_JQ1_24H_2/abundances.cxb	2.68213e+07	0.899296	1
SUM159R_JQ1_3H_0	/grail/projects/TNBC/cufflinks/SUM159R_JQ1_3H_1/abundances.cxb	3.25214e+07	0.956071	1
SUM159R_JQ1_3H_1	/grail/projects/TNBC/cufflinks/SUM159R_JQ1_3H_2/abundances.cxb	3.40226e+07	1.03082	1
SUM159_DMSO_12H_0	/grail/projects/TNBC/cufflinks/SUM159_DMSO_12H_1/abundances.cxb	3.87567e+07	1.3433	1
SUM159_DMSO_12H_1	/grail/projects/TNBC/cufflinks/SUM159_DMSO_12H_2/abundances.cxb	3.56865e+07	1.24302	1
SUM159_DMSO_24H_0	/grail/projects/TNBC/cufflinks/SUM159_DMSO_24H_1/abundances.cxb	1.46647e+07	0.510256	1
SUM159_DMSO_24H_1	/grail/projects/TNBC/cufflinks/SUM159_DMSO_24H_2/abundances.cxb	3.35339e+07	1.20993	1
SUM159_DMSO_3H_0	/grail/projects/TNBC/cufflinks/SUM159_DMSO_3H_1/abundances.cxb	4.0289e+07	1.34888	1
SUM159_DMSO_3H_1	/grail/projects/TNBC/cufflinks/SUM159_DMSO_3H_2/abundances.cxb	2.11274e+07	0.702365	1
SUM159_JQ1_12H_0	/grail/projects/TNBC/cufflinks/SUM159_JQ1_12H_1/abundances.cxb	3.92295e+07	1.30485	1
SUM159_JQ1_12H_1	/grail/projects/TNBC/cufflinks/SUM159_JQ1_12H_2/abundances.cxb	3.70387e+07	1.22978	1
SUM159_JQ1_24H_0	/grail/projects/TNBC/cufflinks/SUM159_JQ1_24H_1/abundances.cxb	2.0099e+07	0.697651	1
SUM159_JQ1_24H_1	/grail/projects/TNBC/cufflinks/SUM159_JQ1_24H_2/abundances.cxb	1.82384e+07	0.651088	1
SUM159_JQ1_3H_0	/grail/projects/TNBC/cufflinks/SUM159_JQ1_3H_1/abundances.cxb	3.80822e+07	1.16973	1
SUM159_JQ1_3H_1	/grail/projects/TNBC/cufflinks/SUM159_JQ1_3H_2/abundances.cxb	2.76898e+07	0.844742	1
