Cell Line	JQ1S	BASAL	LUMINAL	HER2	Claudin-low	ER	PR	HER2	p53	PI3KCA	PTEN	BRCA1
MCF10A	1	1	0	0	0	0	0	0	0	0	0	0
MDA-MB-453	1	0	0	1	0	0	0	1	1	1	1	0
BT-549	1	1	0	0	1	0	0	0	1	0	1	0
DU4475	1	1	0	0	0	0	0	0	0	0	0	0
MDA-MB-468	1	1	0	0	0	0	0	0	1	0	1	0
HCC38	1	1	0	0	1	0	0	0	1	1	0	0
Hs 578.T	1	1	0	0	1	0	0	0	1	0	0	0
CAL-85-1	1	1	0	0	0	0	0	0	1	0	0	0
HCC1806	1	1	0	0	0	0	0	0	1	0	0	0
SUM-159-PT	1	1	0	0	1	0	0	0	1	1	0	1
MDA-MB-157	1	1	0	0	1	0	0	0	1	0	0	0
SUM-149-PT	1	1	0	0	0	0	0	0	1	0	0	1
MCF12A	1	1	0	0	0	0	0	0	0	0	0	0
HCC1187	1	1	0	0	0	0	0	0	1	0	0	0
HCC1569	1	0	0	1	0	0	0	1	1	0	1	0
HCC1428 	1	0	1	0	0	1	0	1	0	0	0	0
SW527	1	0	1	0	0	0	0	0	0	0	0	0
SUM-52PE	1	0	1	0	0	0	0	0	1	0	0	0
CAL-120	1	0	1	0	0	0	0	0	1	0	0	0
HCC1937	1	1	0	0	0	0	0	0	1	0	1	1
HCC1143	1	1	0	0	0	0	0	0	1	0	0	0
CAL-148	1	0	1	0	0	0	0	0	1	1	1	0
HCC3153	1	1	0	0	0	0	0	0	0	0	0	1
MDA-MB-231	1	1	0	0	1	0	0	0	1	0	0	0
MCF7	1	0	1	0	0	1	0	0	0	1	0	0
MDA-MB-134-VI	1	0	1	0	0	0	0	0	1	0	0	0
HCC70	0	1	0	0	0	0	0	0	1	0	1	0
CAMA-1	0	0	1	0	0	0	0	0	1	0	1	0
BT-474	0	0	1	0	0	1	0	1	1	1	0	0
SUM-1315M02	0	1	0	0	1	0	0	0	1	0	0	1
SUM-190PT	0	0	0	1	0	0	0	1	1	1	0	0
SK-BR-3	0	0	0	1	0	0	0	1	1	0	0	0
CAL-51	0	1	0	0	0	0	0	0	0	1	1	0
ZR-75-1	0	0	1	0	0	1	0	1	0	0	1	0
ZR-75-30 	0	0	1	0	0	0	0	0	0	0	0	0
EL-12-58	0	0	0	0	0	0	0	0	1	0	0	0
SUM-185PE	0	0	1	0	0	0	0	0	1	1	0	0
MDA-MB-436	0	1	0	0	1	0	0	0	1	0	0	1
HCC1395	0	1	0	0	0	0	0	0	1	0	1	0
T-47D	0	0	1	0	0	1	0	0	1	1	0	0
