SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
A1BG	1.58029	1.796985	0.185389033706937	0.411855900999872
A1BG-AS1	0.836474	1.374885	0.716918348831601	0.0338125780931204
A2ML1	7.09294	3.602735	-0.977291205817751	0.0128306778645825
A4GALT	10.18985	7.23083	-0.494899651047657	0.00360467623599878
AAAS	31.50205	32.653	0.051769830481606	0.579672138500617
AACS	19.96675	28.8322	0.530081400280272	0.00321037627505493
AADAT	9.46404	3.49577	-1.43684590370822	0.0329543369538529
AAED1	10.218475	7.724605	-0.403646837896681	0.0962441374960425
AAGAB	26.3725	37.13375	0.4936966759898	0.0331100371553521
AAK1	1.152565	2.010465	0.802681105503108	0.0849831677046315
AAMDC	13.41825	40.10865	1.5797168795133	0.0177227971726572
AAMP	72.10855	75.4484	0.0653199747523425	0.634143206821952
AAR2	30.27605	29.38675	-0.0430111804089536	0.573079902512413
AARD	37.7391	20.00425	-0.915753477908439	0.0617520088734858
AARS	105.468	88.28265	-0.25660349677059	0.0747015110527989
AARS2	6.827155	5.150145	-0.406671455117417	0.036063931109955
AARSD1	70.20745	45.60365	-0.622474830283217	0.097522491613542
AASDH	3.48194	4.8336	0.473206746168873	0.00212590380088667
AASDHPPT	39.6482	31.08485	-0.351043752925533	0.100549647889945
AATF	111.2265	97.30605	-0.192899142405112	0.0358468243012231
ABAT	0.0516857	0.287868	2.47757033771448	0.033285376129949
ABCA1	1.052585	0.912545	-0.205969131932564	0.198183020747046
ABCA11P	3.676315	2.693395	-0.448834563385099	0.100286231778796
ABCA12	1.60958	0.6083095	-1.40380684387411	0.0991354868143882
ABCA2	8.20839	6.88954	-0.252691617971356	0.366656024012982
ABCA3	1.83733	3.05941	0.735642689459456	0.0155292077886772
ABCA5	3.18534	4.38302	0.460477889463375	0.120389168559109
ABCA7	2.72522	8.90803	1.70873371711708	0.016563243734707
ABCB10	31.0487	28.7155	-0.112703182054554	0.0633703728369896
ABCB6	6.08869	7.647515	0.328859170185863	0.138066830222648
ABCB7	11.64645	10.649	-0.129172308598592	0.168307997332955
ABCB8	5.107385	8.58993	0.750061559774816	0.000368545106360816
ABCB9	3.474535	5.010125	0.528026684716939	0.0256386541617305
ABCC1	19.66275	18.6262	-0.0781317340101635	0.583083124603582
ABCC10	2.12418	4.95017	1.22057204819052	0.032345494508647
ABCC2	0.5534435	0.413901	-0.419150308339961	0.0555379742529332
ABCC3	13.55005	18.2275	0.427818526367072	0.00938101925275898
ABCC4	2.22779	0.9921615	-1.16696636428781	0.0138940285619344
ABCC5	14.602	20.2165	0.469367265936464	0.0567371654521802
ABCC9	2.40873	0.5814675	-2.05050222526647	0.0323586873627304
ABCD1	23.051	29.83915	0.372377100368647	0.0449118649810866
ABCD3	35.1572	59.69775	0.76385638202045	0.00253539362048737
ABCD4	3.504195	3.65627	0.0612895515546719	0.668580173388256
ABCE1	100.26835	69.57255	-0.527276181865673	0.00827099416449003
ABCF1	41.41415	50.16295	0.276498414619341	0.0699322551560831
ABCF2	79.2401	62.37045	-0.345368032956353	0.00654397038235583
