SUM149_DMSO_12H_R	SUM149R_DMSO_12H_R	LOG2_FOLD_CHANGE	P_VALUE
A1BG	1.68153	1.58029	-0.0895851855035986	0.79461760397748
A1BG-AS1	0.596182	0.836474	0.488567879918704	0.177677812283251
A2ML1	3.397825	7.09294	1.0617721931796	0.0016496671834191
A4GALT	5.918895	10.18985	0.783733045419281	0.0376016355244304
AAAS	27.3692	31.50205	0.202892449801232	0.209614177073022
AACS	13.50205	19.96675	0.564421056987253	0.0267334063498387
AADAT	15.799	9.46404	-0.739305169310361	0.0436002862785398
AAED1	10.65165	10.218475	-0.0598970240037421	0.555717966670758
AAGAB	20.2355	26.3725	0.382145841920352	0.0555441280366576
AAK1	1.49576	1.152565	-0.3760305931472	0.187068254893519
AAMDC	7.82639	13.41825	0.77777761973553	0.143771705220915
AAMP	83.80515	72.10855	-0.216868571501806	0.212559881813806
AAR2	27.78205	30.27605	0.124023936949733	0.190873741454004
AARD	17.1276	37.7391	1.13973700967735	0.0530240043548908
AARS	92.18165	105.468	0.194253841396624	0.0288195742702688
AARS2	8.31975	6.827155	-0.285255671092926	0.0810072474171502
AARSD1	44.01015	70.20745	0.673787840046072	0.0981891872578863
AASDH	3.206185	3.48194	0.119033670205161	0.376314947238454
AASDHPPT	34.04045	39.6482	0.220005261136865	0.13024382255469
AATF	59.27485	111.2265	0.908008542859468	0.000303848802087347
ABAT	0.2950275	0.0516857	-2.51301234958045	0.0346883686126814
ABCA1	1.6219	1.052585	-0.623748130597244	0.0405255332472734
ABCA11P	5.855395	3.676315	-0.671506109732296	0.0586935998647115
ABCA12	2.16919	1.60958	-0.430472140620789	0.167806969996026
ABCA2	14.8333	8.20839	-0.85366840980732	0.029556026361771
ABCA3	0.132123	1.83733	3.79765723172763	0.0335640096155004
ABCA5	3.398375	3.18534	-0.09339768564576	0.0265140037558919
ABCA7	3.40621	2.72522	-0.321794683287409	0.192370113886552
ABCB10	40.2296	31.0487	-0.373724528932192	0.02921918225487
ABCB6	8.049625	6.08869	-0.402789714037721	0.053947181408058
ABCB7	17.48365	11.64645	-0.586116134275088	0.0131464497393615
ABCB8	3.58867	5.107385	0.509135550321042	0.00774968443038148
ABCB9	4.55145	3.474535	-0.389506318386766	0.0826278422493366
ABCC1	17.1626	19.66275	0.196196982317387	0.314734434752359
ABCC10	4.031265	2.12418	-0.924326600327506	0.0646661960973671
ABCC2	1.1611	0.5534435	-1.06898428236182	0.00661029449110819
ABCC3	13.8193	13.55005	-0.0283863644297144	0.561849761196803
ABCC4	3.76232	2.22779	-0.756009315785019	0.0610709425273656
ABCC5	14.94115	14.602	-0.0331252096484985	0.610549056801152
ABCC9	1.476575	2.40873	0.706018050224521	0.0508103947469001
ABCD1	34.7175	23.051	-0.590833724247458	0.0727429923576839
ABCD3	48.4888	35.1572	-0.463831374867319	0.0135654083004046
ABCD4	5.357035	3.504195	-0.612351662213388	0.0432893925111868
ABCE1	90.64665	100.26835	0.145540678032706	0.0375503074612717
ABCF1	55.1474	41.41415	-0.413169091057495	0.0334030456940787
ABCF2	55.8204	79.2401	0.505438238329943	0.0096924633277995
ABCF3	34.1584	35.5678	0.0583313412968192	0.293480935326454
ABCG1	1.42241	2.30279	0.695045480466919	0.0807463822602434
ABCG2	1.0097195	0.4235945	-1.25319880561781	0.101843650083638
ABHD10	26.586	20.6431	-0.365007094318945	0.0824503799580502
ABHD11	14.81035	12.80525	-0.209870315679674	0.159991318990335
ABHD12	31.31915	33.26545	0.0869794914831	0.472835211915997
ABHD13	4.48442	4.484825	0.000130287776051973	0.998261260920182
ABHD14A	1.8646	3.211305	0.784293522282743	0.0418942754810489
ABHD14A-ACY1	0.99545	1.515015	0.605911319323944	0.691029212869458
ABHD14B	9.87582	8.943095	-0.143126340199698	0.359719446931429
ABHD15	9.54101	9.20285	-0.0520612825074292	0.410439902143057
ABHD16A	20.9774	12.6418	-0.73063398120724	0.0159510931418417
ABHD16B	9.754645	6.48072	-0.589935266252669	0.124699531877874
ABHD2	9.515505	16.6945	0.811020756043738	0.06369427022914
ABHD3	14.97535	17.80545	0.249729175922628	0.0937763117630153
ABHD4	3.853525	2.89098	-0.41462012238517	0.139801406286157
ABHD5	4.81913	6.091605	0.338049676206866	0.105088072598519
ABHD6	1.31598	3.710965	1.49565683085827	0.0269083936339295
ABHD8	4.740585	4.06116	-0.223173235152449	0.101336840525952
ABI1	13.01395	15.67665	0.268558381695504	0.0107180747953366
