SUM149_DMSO_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
A1BG	1.68153	1.796985	0.0958038482033389	0.756357751935249
A1BG-AS1	0.596182	1.374885	1.2054862287503	0.0213202023099765
A2ML1	3.397825	3.602735	0.0844809873618529	0.228702436126626
A4GALT	5.918895	7.23083	0.288833394371624	0.151346085380579
AAAS	27.3692	32.653	0.254662280282838	0.00830373414759729
AACS	13.50205	28.8322	1.09450245726753	0.00621044955253728
AADAT	15.799	3.49577	-2.17615107301858	0.0382956498775959
AAED1	10.65165	7.724605	-0.463543861900423	0.0114469971746771
AAGAB	20.2355	37.13375	0.875842517910153	0.00176044504540038
AAK1	1.49576	2.010465	0.426650512355908	0.036198855927658
AAMDC	7.82639	40.10865	2.35749449924883	0.0033312992333171
AAMP	83.80515	75.4484	-0.151548596749464	0.20680486691709
AAR2	27.78205	29.38675	0.0810127565407793	0.362134972428824
AARD	17.1276	20.00425	0.223983531768908	0.00368827479639677
AARS	92.18165	88.28265	-0.062349655373966	0.363079018143589
AARS2	8.31975	5.150145	-0.691927126210344	0.0137316790041209
AARSD1	44.01015	45.60365	0.0513130097628543	0.361582729095685
AASDH	3.206185	4.8336	0.592240416374034	0.0621787257149588
AASDHPPT	34.04045	31.08485	-0.131038491788667	0.0782195292854034
AATF	59.27485	97.30605	0.715109400454357	0.00683272476526921
ABAT	0.2950275	0.287868	-0.0354420118659735	0.85884979583775
ABCA1	1.6219	0.912545	-0.829717262529808	0.00226730954272396
ABCA11P	5.855395	2.693395	-1.12034067311739	0.0225380539131219
ABCA12	2.16919	0.6083095	-1.8342789844949	0.0792855105018701
ABCA2	14.8333	6.88954	-1.10636002777868	0.0539169265476497
ABCA3	0.132123	3.05941	4.53329992118709	0.0153060256076696
ABCA5	3.398375	4.38302	0.367080203817616	0.144266515468668
ABCA7	3.40621	8.90803	1.38693903382967	0.00312195171278679
ABCB10	40.2296	28.7155	-0.486427710986747	0.0130601420463814
ABCB6	8.049625	7.647515	-0.0739305438518582	0.550299402686777
ABCB7	17.48365	10.649	-0.71528844287368	0.0148676673136236
ABCB8	3.58867	8.58993	1.25919711009586	0.000728659013659953
ABCB9	4.55145	5.010125	0.138520366330174	0.285874260626618
ABCC1	17.1626	18.6262	0.118065248307223	0.0274110725434927
ABCC10	4.031265	4.95017	0.296245447863012	0.0196660751713536
ABCC2	1.1611	0.413901	-1.48813459070178	0.00499713777308489
ABCC3	13.8193	18.2275	0.399432161937357	0.00674433762848045
ABCC4	3.76232	0.9921615	-1.92297568007283	0.0383706729042234
ABCC5	14.94115	20.2165	0.436242056287965	0.0933765318587596
ABCC9	1.476575	0.5814675	-1.34448417504194	0.016033112500394
ABCD1	34.7175	29.83915	-0.218456623878811	0.218856201111772
ABCD3	48.4888	59.69775	0.300025007153131	0.0154065531323419
ABCD4	5.357035	3.65627	-0.551062110658716	0.0395296659244617
ABCE1	90.64665	69.57255	-0.381735503832967	0.0112105989228319
ABCF1	55.1474	50.16295	-0.136670676438154	0.0196049874703141
ABCF2	55.8204	62.37045	0.16007020537359	0.0747676402919114
ABCF3	34.1584	42.5745	0.317749186983256	0.00809647307082534
ABCG1	1.42241	3.71476	1.38493163345541	0.0302384108445257
ABCG2	1.0097195	0.222854	-2.17978380687581	0.0329223426273725
ABHD10	26.586	30.022	0.175353356691704	0.00609700068956804
ABHD11	14.81035	19.06255	0.364135386701037	0.00409879147777042
ABHD12	31.31915	40.7949	0.381343745548066	0.114489192691626
ABHD13	4.48442	4.315005	-0.0555591726975283	0.304078729412347
ABHD14A	1.8646	4.179365	1.16441758817877	0.104522501977652
ABHD14A-ACY1	0.99545	0.3067295	-1.6983819274614	0.610146501852815
ABHD14B	9.87582	10.8589	0.136905519618782	0.34854348506935
ABHD15	9.54101	12.5538	0.39591022860702	0.0251514315069262
ABHD16A	20.9774	13.2204	-0.666070049096362	0.0396906925276454
ABHD16B	9.754645	7.9346	-0.297931874327264	0.174051527156855
ABHD2	9.515505	22.1873	1.22138198555944	0.0127896998314471
ABHD3	14.97535	39.87685	1.41296172943589	0.00329581313254988
ABHD4	3.853525	3.55619	-0.115846344081262	0.50928160329594
ABHD5	4.81913	7.37292	0.613463383576842	0.00575416056167152
ABHD6	1.31598	5.13894	1.96533324451954	0.0343632532128316
ABHD8	4.740585	5.25043	0.147370479262055	0.285413027275226
ABI1	13.01395	20.6385	0.66527920395233	0.00253765168005762
ABI2	12.1974	7.183715	-0.763771635231217	0.06293153232224
ABL1	22.10265	20.61225	-0.100717356350787	0.219580689818225
ABL2	3.79658	3.507715	-0.114168874046525	0.305998991951186
ABLIM1	12.16015	8.54516	-0.508981614713868	0.0141993536959425
ABLIM2	0.4927765	1.0573175	1.10140330396282	0.0330207666723624
ABLIM3	11.41255	7.537245	-0.598511987168593	0.0119269551060749
ABR	18.87605	13.34635	-0.500111654819358	0.0150852777214122
ABRACL	65.605	55.7458	-0.234942658565947	0.0965047299427257
ABT1	31.6104	14.4833	-1.1260089353543	0.0184964554451827
ABTB1	3.818105	4.672075	0.291206655534861	0.0216605439794662
ABTB2	5.864075	15.7386	1.42433175370726	0.0017960665734557
ACAA1	25.11425	36.88785	0.554639512633243	0.0516842710437326
ACAA2	60.8982	71.96325	0.240860756699309	0.0467062316722414
ACACA	21.72245	17.9917	-0.271855318483545	0.0979956363660941
ACACB	0.482686	1.527825	1.66232241573419	0.00753371353552846
ACAD10	6.360495	11.28955	0.82777703013945	0.0488632279032767
ACAD11	4.58561	3.5142	-0.383917360570402	0.122625720516048
ACAD8	5.04332	7.67723	0.606212102460908	0.0580352604208178
ACAD9	15.7937	21.45265	0.441806679902041	0.030947228366178
ACADM	43.27555	33.49235	-0.369720548594958	0.01593789837979
ACADS	1.886225	2.257885	0.259470228324398	0.00344910722528626
ACADSB	4.58623	5.301125	0.208989851550104	0.120225517147642
ACADVL	121.1545	254.34	1.06991038091575	0.0161724998653636
ACAP2	11.16185	12.92375	0.21144858437758	0.174861899570955
ACAP3	12.15825	9.75998	-0.316985492586996	0.171768628411006
ACAT1	56.0141	55.4004	-0.0158936386411513	0.653350696891602
ACAT2	86.0799	43.2297	-0.993653577464125	0.0341022443733554
ACBD3	46.66045	42.2095	-0.14463248124398	0.161424626390197
ACBD4	8.133955	9.09534	0.16117056008561	0.195999537811275
ACBD5	9.84178	9.287925	-0.0835629447981369	0.254571013981484
ACBD6	46.68525	39.52085	-0.240352832540589	0.0230356663767575
ACBD7	1.173585	3.963885	1.75599277109501	0.101644936095732
ACCS	2.203625	1.616925	-0.446625973496193	0.119695423126864
ACD	51.5792	37.65065	-0.454114625147839	0.094432185726582
ACER2	0.589524	3.645565	2.62851997205042	0.0493722017670279
ACER3	9.36635	9.21489	-0.0235200051832352	0.58551192208179
ACIN1	59.5462	69.40345	0.220997936003281	0.00639975064589068
ACLY	70.3982	88.45545	0.329412493029862	0.0360371141586836
ACN9	11.60455	19.1318	0.721282035778158	0.0354769660201421
ACO1	6.15441	13.34125	1.11620138252022	0.00525419947169721
ACO2	29.12825	40.12095	0.461936738853388	0.0175924408303406
ACOT11	9.544875	3.65671	-1.38418008770519	0.00773232899586579
ACOT13	10.8985	7.064	-0.625572337226395	0.00490145571040852
ACOT2	6.28492	4.77184	-0.397348710651413	0.0869606395434588
ACOT4	1.24588	1.76124	0.499426396870265	0.207930885714305
ACOT7	69.76755	66.3047	-0.0734450327572445	0.303891761682176
ACOT8	28.9377	25.4882	-0.18312076693485	0.110242041558653
ACOT9	36.3138	27.4161	-0.405494547374095	0.0487064409347774
ACOX1	6.142265	5.029195	-0.288443263866531	0.0609933485566851
ACOX2	7.904915	5.1334	-0.622835268386389	0.0595805390477371
ACOX3	3.750135	3.966055	0.0807621528501966	0.441202779490301
ACOXL	2.000535	1.0061405	-0.991554088526243	0.00789875026375059
ACP1	137.181	141.005	0.0396656435696077	0.203315196059898
ACP2	10.94435	12.74425	0.21966019973431	0.0989256394500014
ACP6	9.96255	5.63586	-0.821879285505395	0.0211409343868631
ACPL2	13.8004	4.73585	-1.54301479175534	0.000464702116862989
ACSF2	6.917005	9.28675	0.425026298698933	0.00468098894252115
ACSF3	8.613545	9.92994	0.205177883548645	0.254977878127454
ACSL1	49.03575	52.60895	0.101474312251046	0.164407406499747
ACSL3	52.3324	48.16265	-0.119789649372143	0.019317068862981
ACSL4	17.081	18.9842	0.152406765218652	0.0483903942483922
ACSS2	30.00475	39.36145	0.391592458408374	0.0279824019718782
ACTA2	1.30983	1.0000455	-0.389313938515639	0.135726906313814
ACTB	1404.035	2104.86	0.584145379072463	0.00683816139805461
ACTBL2	0.484057	1.586675	1.71275780319536	0.00786963526879264
ACTG1	1965.415	4230.665	1.1060504805534	0.00100557236217168
ACTG1P4	0.4114535	0.890813	1.1143932169781	0.343108584953805
ACTL10	3.23154	4.886695	0.596637213084786	0.0487712594116897
ACTL6A	89.51275	105.181	0.232709021858034	0.0153538669451974
ACTL8	2.473095	3.576685	0.532305405608966	0.0137031391698359
ACTN1	123.2815	128.005	0.0542438436592	0.245123150451195
ACTN4	160.387	288.193	0.845478083517938	0.00342986381908839
ACTR10	26.96045	29.6933	0.139292860942645	0.0959771183974222
ACTR1A	43.813	39.77775	-0.139397329986408	0.140966707330181
ACTR1B	16.1036	20.37495	0.339413276508681	0.101482815239151
ACTR2	129.449	124.843	-0.052268889379137	0.295321825392156
ACTR3	73.77825	64.8351	-0.186420507750308	0.0117811725192511
ACTR3B	6.070865	8.596585	0.501861570086173	0.0472788027695283
ACTR5	11.73045	13.5826	0.211501310027676	0.0766381972589178
ACTR6	56.1028	36.1492	-0.634109055244873	0.0107060053884191
ACTR8	5.18471	5.892245	0.184554122964207	0.18329591951618
ACTRT3	4.885515	2.898995	-0.75295780483543	0.0443214795982735
ACVR1	9.45734	11.1005	0.231118292405945	0.109735078871946
ACVR1B	4.58347	2.94008	-0.640584819169731	0.00766292600108146
ACVR2A	2.527555	3.6231	0.519482139951365	0.0658303516578237
ACVR2B	1.176795	0.511024	-1.20340006859918	0.0240431731497382
ACY1	13.7338	11.51215	-0.254573564257998	0.054293800682425
ACYP1	16.02465	16.55565	0.0470308074686771	0.76185443747439
ACYP2	7.953345	6.72132	-0.242817161772038	0.20270457894441
ADA	8.849055	4.61973	-0.937714860651913	0.0152451720096931
ADAL	4.09599	5.27044	0.363711216422346	0.0557870402490479
ADAM10	7.831355	11.28125	0.526593079185152	0.00499955157927568
ADAM15	75.96475	67.7216	-0.165714059637745	0.163174261654403
ADAM17	22.96085	27.55555	0.263166872288867	0.0586273417120099
ADAM19	8.96466	3.80709	-1.23556019170169	0.0087877265740594
ADAM22	1.09204	1.81449	0.732538404609885	0.0667508406524373
ADAM8	27.8666	37.94255	0.44527965086746	0.0819513078766147
ADAM9	38.18835	29.1053	-0.391850698836103	0.0491127722947539
ADAMTS1	2.625995	0.190495	-3.78503913296136	0.0127844572206591
ADAMTS6	0.573099	0.1696075	-1.75658441198337	0.0896815780914981
ADAMTS7	1.893055	1.46094	-0.373819398418864	0.224458088693012
ADAMTSL4	5.51059	1.52919	-1.84943912054143	0.0312427000496209
ADAP1	5.850985	2.43849	-1.26269146352665	0.117999720130364
ADAR	38.09595	40.0536	0.0722942850388423	0.148230471334927
ADARB1	3.69445	6.629835	0.843613362192386	0.00331440215935179
ADARB2	1.020845	1.033755	0.0181304761052731	0.553885051379932
ADAT1	8.369835	11.62245	0.473643131985733	0.017880078672579
ADAT2	3.253445	0.869427	-1.90383136072391	0.000606523335874102
ADAT3	3.17429	5.907165	0.896031972753424	0.082980030841368
ADC	1.18677	2.17965	0.877056128115799	0.052629055027612
ADCK1	2.875335	3.609145	0.32792705411291	0.136379090469906
ADCK2	8.12071	11.0208	0.440551178971492	0.0785253434562927
ADCK3	30.96135	31.8369	0.0402314873193412	0.240973914800028
ADCK4	9.73239	8.127155	-0.260043724246116	0.258711481248632
ADCK5	3.25451	5.237545	0.686450387085491	0.0230327898591218
ADCY1	3.662875	4.281485	0.225134802866218	0.0329044211486158
ADCY3	25.05115	21.75145	-0.203765255984197	0.029107491566119
ADCY6	8.11637	6.291885	-0.367342332442551	0.084928638460009
ADCY7	18.0346	5.52371	-1.70705794125604	0.0114554771923915
ADCY9	1.39659	1.82314	0.384516803291288	0.316527646824326
ADD1	39.32665	32.80315	-0.26167293733391	0.0185405534833661
ADD2	16.64415	15.0774	-0.142627528738053	0.158331481111606
ADD3	18.24545	13.1435	-0.473187229543195	0.0586206248380218
ADH5	56.12365	52.2657	-0.102744366765333	0.181727381675254
ADI1	72.2784	221.4635	1.61543246862403	0.0307012765037
ADIPOR1	87.68855	95.0647	0.116521256313975	0.0963526440239444
ADIPOR2	44.6677	64.6305	0.532983182515758	0.0358736925092229
ADIRF	15.908	44.37475	1.47998652436664	0.00374298329411049
ADK	31.49875	39.98715	0.34424188208457	0.0129751291014122
ADM	8.794265	5.85912	-0.585879008402246	0.116690077840213
ADM2	1.0941175	0.6430435	-0.766779441019712	0.0792513542450442
