SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
A1BG	1.68153	2.01438	0.260561346214849	0.45077781645804
A1BG-AS1	0.596182	1.937635	1.7004721070785	0.00714996808050253
A2ML1	3.397825	1.665375	-1.02876447851431	0.00540115196403906
A4GALT	5.918895	4.83034	-0.293203122232017	0.325976117985938
AAAS	27.3692	25.16475	-0.121149000026809	0.0860329668569747
AACS	13.50205	21.8473	0.69427652862341	0.0138932449674169
AADAT	15.799	4.101695	-1.94554112286685	0.0349345525598806
AAED1	10.65165	7.226825	-0.559643064784252	0.0241690294827591
AAGAB	20.2355	30.90855	0.611117478155923	0.00407835537989721
AAK1	1.49576	2.981335	0.995079785719383	0.00349440631734776
AAMDC	7.82639	31.02065	1.9868100079493	0.0489474489153978
AAMP	83.80515	83.11885	-0.0118632094322692	0.834387677110969
AAR2	27.78205	25.5574	-0.12041198196462	0.0366379689278112
AARD	17.1276	17.9167	0.0649819297036965	0.0625940537272703
AARS	92.18165	87.8309	-0.0697510042668254	0.296930559805241
AARS2	8.31975	5.704935	-0.544329728449989	0.00615444235116379
AARSD1	44.01015	28.19095	-0.642604193126615	0.0238765099002664
AASDH	3.206185	4.569915	0.511309658732954	0.0814019068114116
AASDHPPT	34.04045	21.72015	-0.648216042481876	0.0067265831308945
AATF	59.27485	42.61985	-0.475894591267218	0.0778961846101242
ABAT	0.2950275	1.60905	2.44728781556486	0.0169857788974285
ABCA1	1.6219	0.9012385	-0.847704020893089	0.0186494722481805
ABCA11P	5.855395	3.985545	-0.55498947917217	0.0978976821249405
ABCA12	2.16919	0.792422	-1.45281558521762	0.0890343216576089
ABCA2	14.8333	7.148705	-1.05308576931682	0.0464107375108277
ABCA3	0.132123	0.3559925	1.42996521390817	0.0614678077036957
ABCA5	3.398375	5.26969	0.632873036782689	0.0442185977243561
ABCA7	3.40621	9.90401	1.53984538829308	0.0206688258721165
ABCB10	40.2296	21.04485	-0.934790166709929	0.0301691537565214
ABCB6	8.049625	11.13395	0.467972029036687	0.0234746265553032
ABCB7	17.48365	11.0577	-0.660955066224604	0.0434205639870299
ABCB8	3.58867	7.10938	0.986274485045394	0.0984737825922061
ABCB9	4.55145	6.690695	0.555829847446337	0.047103384854607
ABCC1	17.1626	15.2826	-0.167378119188167	0.011985593283765
ABCC10	4.031265	9.663295	1.26128258096779	5.93813381961941e-05
ABCC2	1.1611	0.763107	-0.605534964350133	0.0237529863645544
ABCC3	13.8193	13.7524	-0.00700112707209631	0.901543717213348
ABCC4	3.76232	1.15572	-1.70283064711727	0.0564872752540212
ABCC5	14.94115	27.23915	0.866390489954115	0.00070266027052931
ABCC9	1.476575	0.799782	-0.884575920321027	0.0152409384760996
ABCD1	34.7175	57.47125	0.727177364788593	0.0131118918199292
ABCD3	48.4888	74.8529	0.626406660817516	0.0521107631049966
ABCD4	5.357035	6.1433	0.197579115256956	0.122921729303585
ABCE1	90.64665	49.417	-0.875246273317735	0.00221612454689037
ABCF1	55.1474	66.0197	0.25960371324879	0.162850028938608
ABCF2	55.8204	42.89555	-0.379964472783615	0.0132670095799755
ABCF3	34.1584	43.2803	0.341470099489128	0.0908451377210047
ABCG1	1.42241	1.86024	0.387151391596877	0.138174015748809
ABCG2	1.0097195	0.189254	-2.41555887016771	0.0636232228424422
ABHD10	26.586	30.31675	0.189448370119333	0.00357860508786154
ABHD11	14.81035	16.9807	0.197290197750608	0.280555726489322
ABHD12	31.31915	36.80695	0.232933147563834	0.158036311737966
ABHD13	4.48442	4.34852	-0.0443969343476659	0.0839300218399576
ABHD14A	1.8646	1.870325	0.00442281201244121	0.943712996752123
ABHD14A-ACY1	0.99545	0.2594415	-1.93993958321171	0.58958201135423
ABHD14B	9.87582	8.54676	-0.208522930780872	0.27462820389521
ABHD15	9.54101	13.15735	0.463655046107028	0.00370460328083278
ABHD16A	20.9774	26.0056	0.309986446937438	0.0461638100738587
ABHD16B	9.754645	15.1616	0.636260733784091	0.0302598550601527
ABHD2	9.515505	13.56395	0.511425242051345	0.0143595684287403
ABHD3	14.97535	36.12695	1.27048573938884	0.00127220574560221
ABHD4	3.853525	9.08334	1.23704413234375	0.00977398261690788
ABHD5	4.81913	5.25761	0.125634409926748	0.192354096969505
ABHD6	1.31598	2.307535	0.810214966953441	0.0913695373977387
ABHD8	4.740585	5.86384	0.306780636541803	0.0343141264135296
ABI1	13.01395	21.0091	0.690955444353049	0.00115530545293722
ABI2	12.1974	7.09601	-0.781493707562097	0.046706635941344
ABL1	22.10265	16.95365	-0.382623443329624	0.0263932218364065
ABL2	3.79658	4.36439	0.201079617648761	0.165066760508964
ABLIM1	12.16015	4.75507	-1.35462254061943	0.00274890669165669
ABLIM2	0.4927765	0.959207	0.960908730095087	0.119433235900919
ABLIM3	11.41255	6.09113	-0.905839380279462	0.0037144791778374
ABR	18.87605	11.05755	-0.771525132262695	0.00700797782224712
ABRACL	65.605	47.7668	-0.457797541342362	0.0239483627711421
ABT1	31.6104	22.16045	-0.512412113617456	0.0163527875670848
ABTB1	3.818105	4.05877	0.0881858103554733	0.719170350096135
ABTB2	5.864075	11.6695	0.992767287196034	0.00495576106208888
ACAA1	25.11425	45.05	0.843020914343306	0.0318981191049954
ACAA2	60.8982	48.59055	-0.325723823750072	0.0137275307185645
ACACA	21.72245	14.89255	-0.54459602613265	0.025961869756405
ACACB	0.482686	0.593806	0.298906687897826	0.0734298989811341
ACAD10	6.360495	10.24055	0.687082250280026	0.0431725924856452
ACAD11	4.58561	4.94159	0.107861655459659	0.310280738416499
ACAD8	5.04332	8.9865	0.833385566639357	0.0267249454187548
ACAD9	15.7937	17.85425	0.176918340321907	0.021698313374665
ACADM	43.27555	41.08735	-0.0748578709038411	0.226824352462469
ACADS	1.886225	2.37885	0.334762525098227	0.174541451771401
