SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	LOG2_FOLD_CHANGE	P_VALUE
A1BG	2.01438	1.58029	-0.350146531718447	0.217786987390572
A1BG-AS1	1.937635	0.836474	-1.2119042271598	0.0172470326427982
A2ML1	1.665375	7.09294	2.09053667169391	0.00165914643683329
A4GALT	4.83034	10.18985	1.0769361676513	0.0716977408746881
AAAS	25.16475	31.50205	0.324041449828042	0.119401787215978
AACS	21.8473	19.96675	-0.129855471636157	0.0416628581791957
AADAT	4.101695	9.46404	1.20623595355649	0.0172812881823553
AAED1	7.226825	10.218475	0.49974604078051	0.0523612797747189
AAGAB	30.90855	26.3725	-0.22897163623557	0.0975932089014983
AAK1	2.981335	1.152565	-1.37111037886658	0.0186285664324051
AAMDC	31.02065	13.41825	-1.20903238821377	0.0214302733420321
AAMP	83.11885	72.10855	-0.205005362069537	0.223857639552487
AAR2	25.5574	30.27605	0.244435918914353	0.082393545171864
AARD	17.9167	37.7391	1.07475507997365	0.0560479688061903
AARS	87.8309	105.468	0.264004845663449	0.0586214030906222
AARS2	5.704935	6.827155	0.259074057357062	0.0850250035892677
AARSD1	28.19095	70.20745	1.31639203317269	0.0662869467744455
AASDH	4.569915	3.48194	-0.392275988527794	0.00166367339814851
AASDHPPT	21.72015	39.6482	0.868221303618741	0.0227391175116721
AATF	42.61985	111.2265	1.38390313412669	0.0194750350433921
ABAT	1.60905	0.0516857	-4.96030016514531	0.0219040083636457
ABCA1	0.9012385	1.052585	0.223955890295845	0.128808687183191
ABCA11P	3.985545	3.676315	-0.116516630560125	0.27855113987164
ABCA12	0.792422	1.60958	1.02234344459683	0.120061900077286
ABCA2	7.148705	8.20839	0.199417359509503	0.428805576952243
ABCA3	0.3559925	1.83733	2.36769201781946	0.0478842371281322
ABCA5	5.26969	3.18534	-0.726270722428449	0.0419006442827887
ABCA7	9.90401	2.72522	-1.86164007158049	1.84572160799229e-05
ABCB10	21.04485	31.0487	0.561065637777736	0.028052032942714
ABCB6	11.13395	6.08869	-0.870761743074408	0.0147227717965296
ABCB7	11.0577	11.64645	0.074838931949516	0.344195655163207
ABCB8	7.10938	5.107385	-0.477138934724351	0.175992661101211
ABCB9	6.690695	3.474535	-0.945336165833102	0.00693163896315097
ABCC1	15.2826	19.66275	0.363575101505554	0.190445140836246
ABCC10	9.663295	2.12418	-2.1856091812953	0.0151991972645865
ABCC2	0.763107	0.5534435	-0.46344931801169	0.0828088756492427
ABCC3	13.7524	13.55005	-0.0213852373576181	0.739494979589784
ABCC4	1.15572	2.22779	0.946821331332249	0.0568864166965234
ABCC5	27.23915	14.602	-0.899515699602614	0.0075500516884624
ABCC9	0.799782	2.40873	1.59059397054555	0.0141348582921
ABCD1	57.47125	23.051	-1.31801108903605	0.00729243688710792
ABCD3	74.8529	35.1572	-1.09023803568483	0.0403565250256828
ABCD4	6.1433	3.504195	-0.809930777470344	0.0638053475582659
ABCE1	49.417	100.26835	1.02078695135044	0.0011098897729148
ABCF1	66.0197	41.41415	-0.672772804306285	0.0457646703391343
ABCF2	42.89555	79.2401	0.885402711113558	0.000825613948470353
ABCF3	43.2803	35.5678	-0.283138758192309	0.0702700579876133
ABCG1	1.86024	2.30279	0.307894088870042	0.2114285583516
ABCG2	0.189254	0.4235945	1.1623600645499	0.0429312922335851
ABHD10	30.31675	20.6431	-0.554455464438279	0.0474443884596764
ABHD11	16.9807	12.80525	-0.407160513430281	0.103121183882854
ABHD12	36.80695	33.26545	-0.145953656080734	0.239818874603848
ABHD13	4.34852	4.484825	0.0445272221237178	0.525545116951122
ABHD14A	1.870325	3.211305	0.779870710270302	0.061513675941994
ABHD14A-ACY1	0.2594415	1.515015	2.54585090253565	0.0862319713398547
ABHD14B	8.54676	8.943095	0.0653965905811738	0.561254547171988
ABHD15	13.15735	9.20285	-0.515716328614457	0.0133071339540598
ABHD16A	26.0056	12.6418	-1.04062042814468	0.00696127620349618
ABHD16B	15.1616	6.48072	-1.22619600003676	0.0484838391753679
ABHD2	13.56395	16.6945	0.299595513992394	0.162520763725522
ABHD3	36.12695	17.80545	-1.02075656346621	0.0180638199025446
ABHD4	9.08334	2.89098	-1.65166425472892	0.00195441729266414
ABHD5	5.25761	6.091605	0.212415266280119	0.221013629130015
ABHD6	2.307535	3.710965	0.685441863904824	0.0674820995352227
ABHD8	5.86384	4.06116	-0.529953871694252	0.0170469469440044
ABI1	21.0091	15.67665	-0.422397062657546	0.00259235282092133
ABI2	7.09601	9.217885	0.377427726340879	0.0382567814213767
ABL1	16.95365	23.64165	0.479734818960902	0.0432993748092367
ABL2	4.36439	5.78671	0.406963319474162	0.205214309186515
ABLIM1	4.75507	14.1616	1.57444578814549	0.0382054019332729
ABLIM2	0.959207	0.5937975	-0.691871167820906	0.206117420508346
ABLIM3	6.09113	13.38375	1.13570060151264	0.0112201723596032
ABR	11.05755	17.18235	0.635895599025953	0.00648739468554463
ABRACL	47.7668	75.64145	0.663168788305089	0.0719128464771179
ABT1	22.16045	18.962	-0.22487603846332	0.0618677763372537
ABTB1	4.05877	3.791	-0.0984641320461637	0.692161788415439
ABTB2	11.6695	8.76265	-0.413303606935599	0.0213344506010517
ACAA1	45.05	28.2677	-0.672372602904495	0.00932588145244923
ACAA2	48.59055	82.7209	0.767576119682502	0.0295553234786997
ACACA	14.89255	23.40215	0.652050276263047	0.142039879335416
ACACB	0.593806	0.8636075	0.54038410166464	0.0915872593321262
ACAD10	10.24055	7.579655	-0.434089113306101	0.0260061749062374
ACAD11	4.94159	3.752345	-0.397182837363341	0.027755845861262
ACAD8	8.9865	5.567025	-0.690852772253604	0.068948968624283
ACAD9	17.85425	17.713	-0.011458954282544	0.827531422772076
ACADM	41.08735	31.68845	-0.374737190520409	0.0856449417689621
ACADS	2.37885	1.606735	-0.56613230065117	0.0895309099523501
ACADSB	5.844655	3.946565	-0.566520356811427	0.075841791945958
ACADVL	246.59	172.2535	-0.517580997916078	0.0185343662782701
ACAP2	15.47385	9.87922	-0.647363148419968	0.00261203172744597
ACAP3	19.81975	5.92617	-1.74176684732957	0.00392623910223955
ACAT1	52.88145	62.40945	0.239002761780892	0.130413203369064
ACAT2	57.4898	63.8325	0.150985140254465	0.0419788818655043
ACBD3	52.4093	32.28165	-0.699108519444089	0.015941383794195
ACBD4	9.91296	8.297115	-0.25670612664959	0.160955164632321
ACBD5	8.07585	11.4672	0.505827145177803	0.0548910553424364
ACBD6	32.48035	49.9921	0.62213295233919	0.0657158266189131
ACBD7	3.515095	1.56925	-1.16348847160777	0.00458543243678496
ACCS	2.77567	1.700285	-0.707059466117765	0.0469703683396865
ACD	38.3073	38.0552	-0.00952574211550183	0.945386701951147
ACER2	3.92192	0.759031	-2.36932939363468	0.066907292605273
ACER3	8.959245	8.61172	-0.0570757480553749	0.597015401113052
ACIN1	68.98185	69.17285	0.00398907787239308	0.945511802617049
ACLY	64.57225	87.14625	0.432524286693652	0.00524197579503203
ACN9	12.0804	15.3095	0.34175894073533	0.129557021206211
ACO1	7.945845	9.599745	0.272795432762381	0.0302796554229191
ACO2	37.52395	32.9971	-0.185472466123835	0.0551837737594995
ACOT11	7.55649	5.866375	-0.365246959855805	0.261656359853496
ACOT13	8.963545	8.063895	-0.152592564199934	0.149017508699063
ACOT2	4.02357	6.22908	0.630542968881088	0.0504273233465188
ACOT4	0.5629955	1.46779	1.38245027727563	0.0871938490811438
ACOT7	78.4027	46.1406	-0.76486657357296	0.0151628234307324
ACOT8	39.01375	22.86595	-0.77078181750632	0.0129767391214036
ACOT9	52.79785	23.29135	-1.18068491963993	0.00865984312380932
ACOX1	9.932495	3.46252	-1.52033375766917	0.000302990920882581
ACOX2	7.400105	8.829865	0.254845639376943	0.0774541430828971
ACOX3	4.506455	3.43156	-0.393128404402396	0.228123067632473
ACOXL	0.784755	1.721025	1.13295383348759	0.042029391904774
