SUM149_JQ1_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
A1BG	2.01438	1.796985	-0.16475749801151	0.0770961416504129
A1BG-AS1	1.937635	1.374885	-0.494985878328198	0.0268280031023617
A2ML1	1.665375	3.602735	1.11324546587616	0.00735226898927152
A4GALT	4.83034	7.23083	0.582036516603641	0.164939203382496
AAAS	25.16475	32.653	0.375811280309648	0.00970022442905277
AACS	21.8473	28.8322	0.400225928644115	0.001760350034614
AADAT	4.101695	3.49577	-0.23060995015173	0.131988427336582
AAED1	7.226825	7.724605	0.0960992028838296	0.380689615435401
AAGAB	30.90855	37.13375	0.26472503975423	0.00693688013590443
AAK1	2.981335	2.010465	-0.568429273363475	0.0315189644722038
AAMDC	31.02065	40.10865	0.370684491299527	0.111358738467469
AAMP	83.11885	75.4484	-0.139685387317195	0.228491451341094
AAR2	25.5574	29.38675	0.2014247385054	0.150160662458828
AARD	17.9167	20.00425	0.159001602065212	0.0148470182159748
AARS	87.8309	88.28265	0.00740134889285931	0.904710145576138
AARS2	5.704935	5.150145	-0.147597397760355	0.0897039144334709
AARSD1	28.19095	45.60365	0.693917202889469	0.035091275838272
AASDH	4.569915	4.8336	0.0809307576410794	0.0452353540400309
AASDHPPT	21.72015	31.08485	0.517177550693209	0.0395295144508068
AATF	42.61985	97.30605	1.19100399172157	0.00977871504784635
ABAT	1.60905	0.287868	-2.48272982743083	0.0348776206852143
ABCA1	0.9012385	0.912545	0.0179867583632813	0.80089578663163
ABCA11P	3.985545	2.693395	-0.565351193945224	0.0921722934686184
ABCA12	0.792422	0.6083095	-0.38146339927728	0.023516058219035
ABCA2	7.148705	6.88954	-0.0532742584618533	0.345603763573893
ABCA3	0.3559925	3.05941	3.10333470727892	0.0233715101659887
ABCA5	5.26969	4.38302	-0.265792832965073	0.104913045780698
ABCA7	9.90401	8.90803	-0.152906354463415	0.105729953367949
ABCB10	21.04485	28.7155	0.448362455723182	0.0603569342616621
ABCB6	11.13395	7.647515	-0.541902572888545	0.0293941317402806
ABCB7	11.0577	10.649	-0.0543333766490755	0.357918564476598
ABCB8	7.10938	8.58993	0.272922625050465	0.233168311565404
ABCB9	6.690695	5.010125	-0.417309481116163	0.00491121706869167
ABCC1	15.2826	18.6262	0.28544336749539	0.0216027403157662
ABCC10	9.663295	4.95017	-0.965037133104784	0.00146557821668362
ABCC2	0.763107	0.413901	-0.882599626351652	0.0410492055239292
ABCC3	13.7524	18.2275	0.406433289009453	0.0207259350973238
ABCC4	1.15572	0.9921615	-0.220145032955558	0.246955102872613
ABCC5	27.23915	20.2165	-0.43014843366615	0.0672268156863299
ABCC9	0.799782	0.5814675	-0.459908254720917	0.128009153679874
ABCD1	57.47125	29.83915	-0.945633988667404	0.0264164326489658
ABCD3	74.8529	59.69775	-0.326381653664384	0.107778913291014
ABCD4	6.1433	3.65627	-0.748641225915672	0.0121505143907636
ABCE1	49.417	69.57255	0.493510769484768	0.0133939381594006
ABCF1	66.0197	50.16295	-0.396274389686944	0.113994431475978
ABCF2	42.89555	62.37045	0.540034678157205	0.00646738889813666
ABCF3	43.2803	42.5745	-0.023720912505872	0.713338583495606
ABCG1	1.86024	3.71476	0.997780241858535	0.0320396217180373
ABCG2	0.189254	0.222854	0.235775063291898	0.655089052255543
ABHD10	30.31675	30.022	-0.0140950134276296	0.257224304601473
ABHD11	16.9807	19.06255	0.166845188950429	0.294355456641494
ABHD12	36.80695	40.7949	0.148410597984232	0.239788098987706
ABHD13	4.34852	4.315005	-0.0111622383498624	0.768141425142197
ABHD14A	1.870325	4.179365	1.15999477616633	0.109538621669316
ABHD14A-ACY1	0.2594415	0.3067295	0.241557655750303	0.914351514462974
ABHD14B	8.54676	10.8589	0.345428450399654	0.0235567251415112
ABHD15	13.15735	12.5538	-0.0677448175000087	0.158779207747507
ABHD16A	26.0056	13.2204	-0.9760564960338	0.0225032489851622
ABHD16B	15.1616	7.9346	-0.934192608111355	0.0169591679923439
ABHD2	13.56395	22.1873	0.709956743508091	0.0330589239598911
ABHD3	36.12695	39.87685	0.142475990047046	0.0604083258119479
ABHD4	9.08334	3.55619	-1.35289047642501	0.0118029478101082
ABHD5	5.25761	7.37292	0.487828973650095	0.0375052142215213
ABHD6	2.307535	5.13894	1.1551182775661	0.0538953784559571
ABHD8	5.86384	5.25043	-0.159410157279748	0.222643964763427
ABI1	21.0091	20.6385	-0.0256762404007198	0.370981137181823
ABI2	7.09601	7.183715	0.0177220723308799	0.818764266489724
ABL1	16.95365	20.61225	0.281906086978837	0.056182467019983
ABL2	4.36439	3.507715	-0.315248491695286	0.0868713446892631
ABLIM1	4.75507	8.54516	0.845640925905561	0.0163244758718517
ABLIM2	0.959207	1.0573175	0.140494573867729	0.586499924113912
ABLIM3	6.09113	7.537245	0.307327393110869	0.0739415034830935
ABR	11.05755	13.34635	0.271413477443337	0.0282279335676525
ABRACL	47.7668	55.7458	0.222854882776415	0.0480230970416549
ABT1	22.16045	14.4833	-0.613596821736844	0.0239982024923539
ABTB1	4.05877	4.672075	0.203020845179388	0.439384325109166
ABTB2	11.6695	15.7386	0.431564466511222	0.00981494304442551
ACAA1	45.05	36.88785	-0.288381401710063	0.0283148622838417
ACAA2	48.59055	71.96325	0.566584580449381	0.0281891574678571
ACACA	14.89255	17.9917	0.272740707649105	0.0498374615251468
ACACB	0.593806	1.527825	1.36341572783636	0.003393674109781
ACAD10	10.24055	11.28955	0.140694779859424	0.168608076556733
ACAD11	4.94159	3.5142	-0.491779016030061	0.0424375924760071
ACAD8	8.9865	7.67723	-0.22717346417845	0.0336263555381709
ACAD9	17.85425	21.45265	0.264888339580134	0.0721856802557017
ACADM	41.08735	33.49235	-0.294862677691117	0.0548222271286174
ACADS	2.37885	2.257885	-0.075292296773829	0.543215106762029
ACADSB	5.844655	5.301125	-0.140819307829325	0.315448321222684
