SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R
A1BG	1.68153	2.01438	1.58029	1.796985
A1BG-AS1	0.596182	1.937635	0.836474	1.374885
A1CF	0.0477695	0.06105975	0.02233055	0.01168835
A2M	0.005	0.0174158	0.01329085	0.0066172
A2M-AS1	0.3136425	0.239597	0.25511	0.132756
A2ML1	3.397825	1.665375	7.09294	3.602735
A2MP1	0	0	0	0
A4GALT	5.918895	4.83034	10.18985	7.23083
A4GNT	0.11374695	0.15708215	0.0535077	0.04199305
AA06	0	0	0	0
AAAS	27.3692	25.16475	31.50205	32.653
AACS	13.50205	21.8473	19.96675	28.8322
AACSP1	0.0267299	0.0549207	0.0301054	0.0298932
AADAC	0.007667	0	0	0
AADACL2	0	0	0	0
AADACL3	0	0.0072947	0.005	0.005
AADACL4	0	0.02978015	0	0
AADAT	15.799	4.101695	9.46404	3.49577
AAED1	10.65165	7.226825	10.218475	7.724605
AAGAB	20.2355	30.90855	26.3725	37.13375
AAK1	1.49576	2.981335	1.152565	2.010465
AAMDC	7.82639	31.02065	13.41825	40.10865
AAMP	83.80515	83.11885	72.10855	75.4484
AANAT	0.157735	0.20293815	0.11187585	0.09272495
AAR2	27.78205	25.5574	30.27605	29.38675
AARD	17.1276	17.9167	37.7391	20.00425
AARS	92.18165	87.8309	105.468	88.28265
AARS2	8.31975	5.704935	6.827155	5.150145
AARSD1	44.01015	28.19095	70.20745	45.60365
AASDH	3.206185	4.569915	3.48194	4.8336
AASDHPPT	34.04045	21.72015	39.6482	31.08485
AASS	0.5041575	0.94515	0.38229	0.542054
AATF	59.27485	42.61985	111.2265	97.30605
AATK	0.2892025	0.1677365	0.07372525	0.0514253
AATK-AS1	0	0.019685	0.01710635	0.0107145
ABAT	0.2950275	1.60905	0.0516857	0.287868
ABCA1	1.6219	0.9012385	1.052585	0.912545
ABCA10	0.256972	0.253302	0.2440195	0.2109445
ABCA11P	5.855395	3.985545	3.676315	2.693395
ABCA12	2.16919	0.792422	1.60958	0.6083095
ABCA13	0.04481785	0.0604329	0.033366	0.0271939
ABCA17P	0.106001	0.3463285	0.0932074	0.1395855
ABCA2	14.8333	7.148705	8.20839	6.88954
ABCA3	0.132123	0.3559925	1.83733	3.05941
ABCA4	0.651402	0.303368	0.3784655	0.179677
ABCA5	3.398375	5.26969	3.18534	4.38302
ABCA6	0.01111535	0.0257933	0.0267324	0.0595338
ABCA7	3.40621	9.90401	2.72522	8.90803
ABCA8	0	0	0.005	0.005
ABCA9	0.19073	0.252943	0.1683875	0.20417
ABCB1	0.005	0.01198765	0	0
ABCB10	40.2296	21.04485	31.0487	28.7155
ABCB11	0.005	0.01183295	0	0
ABCB4	0	0.0159602	0	0.01
ABCB5	0.421011	0.4975025	0.389629	0.35994
ABCB6	8.049625	11.13395	6.08869	7.647515
ABCB7	17.48365	11.0577	11.64645	10.649
ABCB8	3.58867	7.10938	5.107385	8.58993
ABCB9	4.55145	6.690695	3.474535	5.010125
ABCC1	17.1626	15.2826	19.66275	18.6262
ABCC10	4.031265	9.663295	2.12418	4.95017
ABCC11	0.1224665	0.0705436	0.0732759	0.03092075
ABCC12	0.005	0.008346	0.0071017	0.01
ABCC13	0.10456085	0.0977123	0.0732009	0.06611115
ABCC2	1.1611	0.763107	0.5534435	0.413901
ABCC3	13.8193	13.7524	13.55005	18.2275
ABCC4	3.76232	1.15572	2.22779	0.9921615
ABCC5	14.94115	27.23915	14.602	20.2165
ABCC5-AS1	0.058501	0.099457	0	0.05531
ABCC6	0.0063381	0.005	0.01	0.01
ABCC6P1	0	0.0052507	0	0.0096266
ABCC6P2	0	0	0.0233578	0
ABCC8	0	0.01	0.005	0
ABCC9	1.476575	0.799782	2.40873	0.5814675
ABCD1	34.7175	57.47125	23.051	29.83915
ABCD2	0.03306155	0.0818832	0.0121807	0.0151783
