SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R
A1BG	1.68153	2.01438	1.58029	1.796985
A1BG-AS1	0.596182	1.937635	0.836474	1.374885
A2ML1	3.397825	1.665375	7.09294	3.602735
A4GALT	5.918895	4.83034	10.18985	7.23083
AAAS	27.3692	25.16475	31.50205	32.653
AACS	13.50205	21.8473	19.96675	28.8322
AADAT	15.799	4.101695	9.46404	3.49577
AAED1	10.65165	7.226825	10.218475	7.724605
AAGAB	20.2355	30.90855	26.3725	37.13375
AAK1	1.49576	2.981335	1.152565	2.010465
AAMDC	7.82639	31.02065	13.41825	40.10865
AAMP	83.80515	83.11885	72.10855	75.4484
AAR2	27.78205	25.5574	30.27605	29.38675
AARD	17.1276	17.9167	37.7391	20.00425
AARS	92.18165	87.8309	105.468	88.28265
AARS2	8.31975	5.704935	6.827155	5.150145
AARSD1	44.01015	28.19095	70.20745	45.60365
AASDH	3.206185	4.569915	3.48194	4.8336
AASDHPPT	34.04045	21.72015	39.6482	31.08485
AATF	59.27485	42.61985	111.2265	97.30605
ABAT	0.2950275	1.60905	0.0516857	0.287868
ABCA1	1.6219	0.9012385	1.052585	0.912545
ABCA11P	5.855395	3.985545	3.676315	2.693395
ABCA12	2.16919	0.792422	1.60958	0.6083095
ABCA2	14.8333	7.148705	8.20839	6.88954
ABCA3	0.132123	0.3559925	1.83733	3.05941
ABCA5	3.398375	5.26969	3.18534	4.38302
ABCA7	3.40621	9.90401	2.72522	8.90803
ABCB10	40.2296	21.04485	31.0487	28.7155
ABCB6	8.049625	11.13395	6.08869	7.647515
ABCB7	17.48365	11.0577	11.64645	10.649
ABCB8	3.58867	7.10938	5.107385	8.58993
ABCB9	4.55145	6.690695	3.474535	5.010125
ABCC1	17.1626	15.2826	19.66275	18.6262
ABCC10	4.031265	9.663295	2.12418	4.95017
ABCC2	1.1611	0.763107	0.5534435	0.413901
ABCC3	13.8193	13.7524	13.55005	18.2275
ABCC4	3.76232	1.15572	2.22779	0.9921615
ABCC5	14.94115	27.23915	14.602	20.2165
ABCC9	1.476575	0.799782	2.40873	0.5814675
ABCD1	34.7175	57.47125	23.051	29.83915
ABCD3	48.4888	74.8529	35.1572	59.69775
ABCD4	5.357035	6.1433	3.504195	3.65627
ABCE1	90.64665	49.417	100.26835	69.57255
ABCF1	55.1474	66.0197	41.41415	50.16295
ABCF2	55.8204	42.89555	79.2401	62.37045
ABCF3	34.1584	43.2803	35.5678	42.5745
ABCG1	1.42241	1.86024	2.30279	3.71476
ABCG2	1.0097195	0.189254	0.4235945	0.222854
ABHD10	26.586	30.31675	20.6431	30.022
ABHD11	14.81035	16.9807	12.80525	19.06255
ABHD12	31.31915	36.80695	33.26545	40.7949
ABHD13	4.48442	4.34852	4.484825	4.315005
ABHD14A	1.8646	1.870325	3.211305	4.179365
ABHD14A-ACY1	0.99545	0.2594415	1.515015	0.3067295
ABHD14B	9.87582	8.54676	8.943095	10.8589
ABHD15	9.54101	13.15735	9.20285	12.5538
ABHD16A	20.9774	26.0056	12.6418	13.2204
ABHD16B	9.754645	15.1616	6.48072	7.9346
ABHD2	9.515505	13.56395	16.6945	22.1873
ABHD3	14.97535	36.12695	17.80545	39.87685
ABHD4	3.853525	9.08334	2.89098	3.55619
ABHD5	4.81913	5.25761	6.091605	7.37292
ABHD6	1.31598	2.307535	3.710965	5.13894
ABHD8	4.740585	5.86384	4.06116	5.25043
ABI1	13.01395	21.0091	15.67665	20.6385
ABI2	12.1974	7.09601	9.217885	7.183715
ABL1	22.10265	16.95365	23.64165	20.61225
ABL2	3.79658	4.36439	5.78671	3.507715
ABLIM1	12.16015	4.75507	14.1616	8.54516
ABLIM2	0.4927765	0.959207	0.5937975	1.0573175
ABLIM3	11.41255	6.09113	13.38375	7.537245
ABR	18.87605	11.05755	17.18235	13.34635
ABRACL	65.605	47.7668	75.64145	55.7458
